Sectors,Courses,Student Enrollments,Careers Opportunity
Pengurusan,Pengurusan Perniagaan,0,11
Profesional,Perakaunan,108,137
,Sistem Komputer & Rangkaian,55,
,Perkhidmatan Terapi Estetik (MP-060-3:2013),5,
Juruteknik & Profesional Bersekutu,Kosmetologi,109,35
,Teknologi Automotif,112,
,Teknologi Elektrik,123,
,Teknologi Elektronik,118,
,Teknologi Kimpalan,90,
,"Troubleshouting, Pembaikpulihan dan Penyelenggaraan Peralatan Elektronik",,
Pekerja Sokongan Pekeranian,Kerani Audit,0,42
Pekerja Perkhidmatan & Jualan,Bakery Dan Pastri,0,1271
,Pelancongan,0,
,Penyediaan & Pembuatan Makanan,23,
"Pekerja Mahir Pertanian, Perhutanan & Perikanan",,0,20
Pekerja Kemahiran & Pertukangan Berkaitan,Fesyen Dan Membuat Pakaian,163,951
,Seni Kulinari,187,
,Operasi Pembuatan Perabot (Rb-050-2/3:2012),0,
,Pemasangan & Penyelenggaraan Elektrik-Tiga Fasa (EE-320-3:2012),42,
,Pembuat Pakaian Wanita,7,
,Penyeliaan Pemasangan & Penyelenggaraan HVAC,11,
Operator Logi & Mesin dan Pemasangan,Teknologi Pembinaan,115,85
,Teknologi Pemesinan Industri,109,
,Teknologi Penyejukbekuan & Penyaman Udara,100,
,Pemesin Am,0,
Pekerjaan Asas,Pengajian Awal Kanak-Kanak,119,19123
TOTAL,,1596,21675
