Sectors,Courses,Student Enrollment,Career Opportunity
Pengurusan,Pengurusan Perniagaan,393,25
Profesional,Perakaunan,353,11
,Sistem Komputer & Rangkaian,157,
,Projek Link Shell*,38,
Juruteknik & Profesional Bersekutu,Kosmetologi,243,81
,Teknologi Automotif,523,
,Teknologi Elektrik,623,
,Teknologi Elektronik,561,
,Teknologi Kimpalan,339,
,"Troubleshouting, Pembaikpulihan dan Penyelenggaraan Peralatan Elektronik",10,
Pekerja Sokongan Pekeranian,Kerani Audit,14,9
Pekerja Perkhidmatan & Jualan,Bakery Dan Pastri,88,41
,Pelancongan,116,
,Penyediaan & Pembuatan Makanan,23,
"Pekerja Mahir Pertanian, Perhutanan & Perikanan",,0,0
Pekerja Kemahiran & Pertukangan yang Berkaitan,Fesyen Dan Membuat Pakaian,373,32
,Seni Kulinari,414,
,Operasi Pembuatan Perabot (Rb-050-2/3:2012),17,
,Pemasangan & Penyelenggaraan Elektrik-Tiga Fasa (EE-320-3:2012),26,
Operator Logi & Mesin dan Pemasangan,Teknologi Pembinaan,310,2
,Teknologi Pemesinan Industri,451,
,Teknologi Penyejukbekuan & Penyaman Udara,113,
,Pemesin Am,13,
Pekerjaan Asas,,0,1115
TOTAL,,5198,1316
