,,,,,Supply,Demand
Sectors,Courses,,,,Number of Students,Sector Availability
Pengurusan                                                                                                                                                                                                                                                                   Managers,Pengurusan Perniagaan,,,,196,6
,Kesetiausahaan Pentadbiran,,,,159,
,,,,,,
Profesional                                Professional,Perakaunan,,,,323,1
,Sistem Komputer & Rangkaian,,,,56,
,Multimedia Kreatif (Animasi),,,,47,
,Sistem Pengurusan Pangkalan Data Dan Aplikasi Web,,,,114,
,Perkhidmatan Terapi Estetik (MP-060-3:2013),,,,4,
,,,,,,
,,,,,,
Juruteknik & Profesional Bersekutu  Technician & Associate Professional,Kosmetologi,,,,233,113
,Teknologi Automotif,,,,629,
,Teknologi Elektrik,,,,640,
,Teknologi Elektronik,,,,614,
,Teknologi Kimpalan,,,,608,
,"Troubleshouting, Pembaikpulihan dan Penyelenggaraan Peralatan Elektronik",,,,,
Pekerja Sokongan Pekeranian                                                                                                                                                                                                                             Clerical Support Workers,Kerani Audit,,,,,33
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Pekerja Perkhidmatan & Jualan                                                                                                                                                                                                                           Service & Sales Workers,Bakery Dan Pastri,,,,73,467
,Pelancongan,,,,,
,Penyediaan & Pembuatan Makanan,,,,,
,Automotif _ Servis Selepas Jualan  (TP-300-3:2013),,,,20,
,,,,,,
,,,,,,
"Pekerja Mahir Pertanian, Perhutanan & Perikanan                                                                                                                                                                                                  Skilled Agricultural, Forestry & Fishery Workers",,,,,,75
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Pekerja Kemahiran & Pertukangan yang Berkaitan                                                                                                                                                                                                    Craft & Related Trade Workers,Fesyen Dan Membuat Pakaian,,,,175,692
,Seni Kulinari,,,,191,
,Operasi Pembuatan Perabot (Rb-050-2/3:2012),,,,26,
,Pemasangan & Penyelenggaraan Elektrik-Tiga Fasa (EE-320-3:2012),,,,46,
,Pembuat Pakaian Wanita,,,,11,
,,,,,,
Operator Logi & Mesin & Pemasang                                                                                                                                                                                                                        Plant & Machine Operator & Assemblers,Teknologi Pembinaan,,,,607,1485
,Teknologi Pemesinan Industri,,,,514,
,Teknologi Penyejukbekuan & Penyaman Udara,,,,496,
,Pemesin Am,,,,,
,Teknologi Pemprosesan Kayu Dan Kemasan,,,,30,
,Operasi Pembuatan Perabot (Rb-050-2/3:2012),,,,15,
,,,,,,
Pekerjaan Asas Elementary Occupation,Pengajian Awal Kanak-Kanak,,,,129,22082
,,,,,,
,,,,,,
TOTAL,,,,,5956,24954
